name,team,born,height
Nathan Aké,AFC Bournemouth,18/02/1995,180 cm
Philip Billing,AFC Bournemouth,11/06/1996,198 cm
Artur Boruc,AFC Bournemouth,20/02/1980,193 cm
David Brooks,AFC Bournemouth,08/07/1997,173 cm
Matt Butcher,AFC Bournemouth,14/05/1997,188 cm
Lewis Cook,AFC Bournemouth,03/02/1997,175 cm
Steve Cook,AFC Bournemouth,19/04/1991,185 cm
Charlie Daniels,AFC Bournemouth,07/09/1986,178 cm
Arnaut Danjuma,AFC Bournemouth,31/01/1997,178 cm
Will Dennis,AFC Bournemouth,10/07/2000,???
 Diego Rico,AFC Bournemouth,23/02/1993,183 cm
Simon Francis,AFC Bournemouth,16/02/1985,191 cm
Brooklyn Genesini,AFC Bournemouth,12/12/2001,189 cm
Dan Gosling,AFC Bournemouth,02/02/1990,183 cm
Lloyd Kelly,AFC Bournemouth,06/10/1998,178 cm
Gavin Kilkenny,AFC Bournemouth,01/02/2000,194 cm
Joshua King,AFC Bournemouth,15/01/1992,181 cm
Jefferson Lerma,AFC Bournemouth,25/10/1994,179 cm
Chris Mepham,AFC Bournemouth,05/11/1997,191 cm
Nathan Ofoborh,AFC Bournemouth,07/11/1999,175 cm
Aaron Ramsdale,AFC Bournemouth,14/05/1998,188 cm
Christian Saydee,AFC Bournemouth,10/05/2002,181 cm
Jack Simpson,AFC Bournemouth,08/01/1997,190 cm
Adam Smith,AFC Bournemouth,29/04/1991,174 cm
Dominic Solanke,AFC Bournemouth,14/09/1997,187 cm
Jack Stacey,AFC Bournemouth,06/04/1996,180 cm
Junior Stanislas,AFC Bournemouth,26/11/1989,183 cm
Andrew Surman,AFC Bournemouth,20/08/1986,178 cm
Sam Surridge,AFC Bournemouth,28/07/1998,191 cm
Kyle Taylor,AFC Bournemouth,28/08/1999,167 cm
Mark Travers,AFC Bournemouth,18/05/1999,191 cm
Callum Wilson,AFC Bournemouth,27/02/1992,180 cm
Harry Wilson,AFC Bournemouth,22/03/1997,173 cm
Pierre-Emerick Aubameyang,Arsenal FC,18/06/1989,187 cm
Folarin Balogun,Arsenal FC,03/07/2001,179 cm
Tolaji Bola,Arsenal FC,04/01/1999,188 cm
 Cédric Soares,Arsenal FC,31/08/1991,171 cm
Calum Chambers,Arsenal FC,20/01/1995,182 cm
 Dani Ceballos,Arsenal FC,07/08/1996,179 cm
 David Luiz,Arsenal FC,22/04/1987,189 cm
 Gabriel Martinelli,Arsenal FC,18/06/2001,180 cm
Mattéo Guendouzi,Arsenal FC,14/04/1999,185 cm
 Héctor Bellerín,Arsenal FC,19/03/1995,178 cm
Rob Holding,Arsenal FC,20/09/1995,188 cm
Sead Kolašinac,Arsenal FC,20/06/1993,183 cm
Alexandre Lacazette,Arsenal FC,28/05/1991,176 cm
Bernd Leno,Arsenal FC,04/03/1992,189 cm
Matt Macey,Arsenal FC,09/09/1994,202 cm
Ainsley Maitland-Niles,Arsenal FC,29/08/1997,180 cm
Emiliano Martínez,Arsenal FC,02/09/1992,195 cm
Shkodran Mustafi,Arsenal FC,17/04/1992,184 cm
Reiss Nelson,Arsenal FC,10/12/1999,175 cm
Eddie Nketiah,Arsenal FC,30/05/1999,180 cm
James Olayinka,Arsenal FC,05/10/2000,175 cm
Mesut Özil,Arsenal FC,15/10/1988,180 cm
 Pablo Marí,Arsenal FC,31/08/1993,193 cm
Sokratis Papastathopoulos,Arsenal FC,09/06/1988,186 cm
Nicolas Pépé,Arsenal FC,29/05/1995,183 cm
Bukayo Saka,Arsenal FC,05/09/2001,178 cm
William Saliba,Arsenal FC,24/03/2001,193 cm
Matt Smith,Arsenal FC,05/10/2000,???
Kieran Tierney,Arsenal FC,05/06/1997,180 cm
Lucas Torreira,Arsenal FC,11/02/1996,166 cm
Joe Willock,Arsenal FC,20/08/1999,186 cm
Granit Xhaka,Arsenal FC,27/09/1992,186 cm
Keinan Davis,Aston Villa,13/02/1998,189 cm
 Douglas Luiz,Aston Villa,09/05/1998,178 cm
