league,season,appearances,score,st11,⤵,⤴,yellow,red(2yellow),red(only)
EPL,2019/2020,29,2,29,0,2,2,0,0
EPL,2019/2020,34,1,29,5,10,8,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,9,1,8,1,8,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,27,0,14,13,6,5,0,0
EPL,2019/2020,29,1,28,1,2,6,0,1
EPL,2019/2020,2,0,2,0,1,0,0,0
EPL,2019/2020,14,0,6,8,4,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,27,0,27,0,4,6,0,0
EPL,2019/2020,15,0,10,5,0,3,1,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,3,14,10,7,3,0,0
EPL,2019/2020,8,0,7,1,0,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,26,6,24,2,11,0,0,0
EPL,2019/2020,33,1,31,2,6,11,1,0
EPL,2019/2020,12,1,10,2,0,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,37,0,37,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,4,0,1,3,0,0,0,0
EPL,2019/2020,24,0,24,0,5,7,0,0
EPL,2019/2020,32,3,17,15,7,1,0,0
EPL,2019/2020,19,0,17,2,3,2,0,0
EPL,2019/2020,15,3,7,8,6,1,0,0
EPL,2019/2020,5,0,2,3,1,1,0,0
EPL,2019/2020,4,0,0,4,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,1,0,0,0,0,0
EPL,2019/2020,35,8,32,3,5,9,0,0
EPL,2019/2020,31,7,20,11,18,2,0,0
EPL,2019/2020,36,22,35,1,3,3,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,16,0,16,0,4,1,0,0
EPL,2019/2020,14,1,13,1,2,5,0,0
EPL,2019/2020,24,0,18,6,12,1,0,0
EPL,2019/2020,33,2,32,1,1,5,0,2
EPL,2019/2020,14,3,6,8,1,1,0,0
EPL,2019/2020,24,0,19,5,4,6,0,0
EPL,2019/2020,15,1,13,2,3,2,0,0
EPL,2019/2020,8,0,6,2,1,1,0,0
EPL,2019/2020,26,0,19,7,5,4,0,0
EPL,2019/2020,30,10,22,8,13,8,0,0
EPL,2019/2020,30,0,30,0,1,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,20,0,15,5,0,4,1,0
EPL,2019/2020,9,0,8,1,0,2,0,0
EPL,2019/2020,15,0,13,2,1,2,0,0
EPL,2019/2020,17,1,7,10,6,1,0,0
EPL,2019/2020,13,2,7,6,5,0,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,18,1,18,0,11,1,0,0
EPL,2019/2020,2,0,2,0,1,0,0,0
EPL,2019/2020,19,2,19,0,1,6,0,0
EPL,2019/2020,31,5,22,9,11,4,0,0
EPL,2019/2020,26,1,19,7,9,6,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,15,1,12,3,6,2,0,0
EPL,2019/2020,29,1,17,12,9,7,0,0
EPL,2019/2020,29,1,8,21,7,2,0,0
EPL,2019/2020,31,1,30,1,5,10,0,0
EPL,2019/2020,18,0,4,14,4,0,0,0
EPL,2019/2020,36,3,28,8,4,8,0,0
EPL,2019/2020,34,4,26,8,17,3,0,0
EPL,2019/2020,18,1,11,7,2,1,0,0
EPL,2019/2020,17,1,15,2,1,1,0,0
EPL,2019/2020,36,8,36,0,1,8,0,0
EPL,2019/2020,25,0,22,3,3,7,0,0
EPL,2019/2020,18,1,17,1,0,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,20,0,20,0,1,0,0,0
EPL,2019/2020,27,3,18,9,14,4,0,0
EPL,2019/2020,10,0,4,6,4,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,25,1,24,1,5,3,0,0
EPL,2019/2020,10,0,2,8,2,0,0,0
EPL,2019/2020,28,3,27,1,6,3,0,0
EPL,2019/2020,33,2,33,0,1,7,0,0
EPL,2019/2020,29,0,19,10,9,5,0,0
EPL,2019/2020,7,0,5,2,0,0,0,0
EPL,2019/2020,12,0,12,0,0,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,14,1,11,3,6,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,1,0,1,0,0,0
EPL,2019/2020,28,1,27,1,5,4,0,0
EPL,2019/2020,14,0,11,3,1,2,0,0
EPL,2019/2020,34,6,20,14,14,2,1,0
EPL,2019/2020,4,0,0,4,0,0,0,0
EPL,2019/2020,21,5,21,0,8,3,0,0
EPL,2019/2020,19,0,12,7,2,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,14,0,7,7,3,1,0,0
EPL,2019/2020,22,1,15,7,11,4,0,0
EPL,2019/2020,34,0,33,1,2,5,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,3,14,10,14,0,0,0
EPL,2019/2020,19,1,12,7,0,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,2,22,7,14,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,10,2,3,7,3,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,9,0,4,5,4,0,0,0
EPL,2019/2020,19,0,11,8,8,2,0,0
EPL,2019/2020,27,0,23,4,10,5,0,0
EPL,2019/2020,37,10,30,7,10,3,0,0
EPL,2019/2020,31,2,25,6,10,1,1,0
EPL,2019/2020,23,1,7,16,5,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,35,1,32,3,4,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,0,38,0,0,0,0,0
EPL,2019/2020,8,0,4,4,4,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,33,0,28,5,4,8,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,5,22,9,12,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,3,31,0,2,4,0,0
EPL,2019/2020,21,0,21,0,0,6,0,0
EPL,2019/2020,19,6,17,2,12,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,17,1,5,12,5,1,0,0
EPL,2019/2020,10,0,9,1,1,2,0,0
EPL,2019/2020,30,0,30,0,6,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,12,1,6,6,5,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
